Date,Time,Alt(m),VSpd(m/s),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat%(%),Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-08-08,13:27:20.700,11.9,2.8,-64,-68,100,10,0,8,10,-59,100,10,11.8,0.0,0,0,6,1,1024,21,8,-1024,-4,-561,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1514,1359,1538,1523,2012,1542,1525,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:21.200,12.8,0.6,-64,-68,100,10,0,8,10,-55,100,11,11.8,0.0,0,0,5,-739,1024,-49,8,-1024,-4,-560,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1586,1519,1511,2012,1521,1512,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:21.700,15.3,6.6,-61,-68,100,10,0,8,10,-57,100,11,11.7,0.0,0,0,5,4,1024,-7,8,-1024,-4,-561,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1358,1530,1518,2012,1533,1520,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:22.200,17.6,4.6,-64,-68,100,12,0,8,10,-56,100,11,11.7,0.0,0,0,5,-546,1024,-6,8,-1024,-4,-560,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1511,1530,1518,2012,1534,1520,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:22.700,19.9,5.6,-63,-68,100,12,0,8,10,-57,100,11,11.7,0.0,0,0,5,4,1024,-7,8,-1024,-3,-561,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1358,1530,1518,2012,1533,1520,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:23.200,22.5,5.6,-68,-82,100,12,0,8,10,-65,100,10,11.7,0.0,0,0,5,-260,1024,492,8,-1024,-3,-561,-659,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1424,1664,1600,2012,1682,1607,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:23.700,23.6,2.7,-69,-82,100,9,0,8,10,-65,100,11,11.7,0.0,0,0,5,-375,1024,-6,8,-1024,-3,-561,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1455,1530,1518,2012,1534,1520,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:24.200,27.6,6.0,-68,-82,100,10,0,8,10,-61,100,9,11.7,0.0,0,0,5,5,1024,-7,8,-1024,-3,-560,-659,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1358,1530,1518,2012,1533,1520,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:24.700,29.4,4.0,-68,-82,100,11,0,8,10,-64,100,10,11.7,0.0,0,0,5,-477,1024,-130,8,-1024,-3,-561,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1487,1498,1499,2012,1497,1498,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:25.200,31.2,4.4,-66,-82,100,10,0,8,10,-63,100,10,11.7,0.0,0,0,5,1,1024,-8,8,-1024,-3,-560,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1359,1530,1518,2012,1533,1519,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
